id,profile_id_1,profile_id_2,created_at
6752,847,615,2024-12-31 07:12:23.175053 +00:00
6777,849,802,2024-12-31 11:47:07.857584 +00:00
6792,850,639,2024-12-31 13:31:05.646433 +00:00
6964,850,492,2025-01-01 14:44:26.279689 +00:00
6972,881,181,2025-01-01 14:45:44.124342 +00:00
6981,654,194,2025-01-01 20:30:14.744560 +00:00
6997,834,34,2025-01-01 22:50:50.730102 +00:00
7010,783,414,2025-01-02 12:02:20.805891 +00:00
7026,783,585,2025-01-02 12:02:59.219727 +00:00
7048,842,500,2025-01-03 03:07:14.934259 +00:00
7054,896,386,2025-01-03 20:02:26.527830 +00:00
7059,896,512,2025-01-03 20:03:30.362757 +00:00
8077,460,976,2025-01-11 01:27:49.923981 +00:00
8135,1146,316,2025-01-11 14:43:41.405876 +00:00
8150,147,623,2025-01-11 15:12:55.259729 +00:00
8154,1072,444,2025-01-11 16:26:40.700749 +00:00
8189,1175,525,2025-01-11 19:38:25.793842 +00:00
8220,1183,213,2025-01-12 09:26:28.765189 +00:00
8251,1194,171,2025-01-12 11:37:08.562040 +00:00
8257,1194,347,2025-01-12 11:37:37.143330 +00:00
8324,1224,512,2025-01-13 10:34:49.572099 +00:00
8349,1232,941,2025-01-13 14:56:29.364156 +00:00
8354,1238,166,2025-01-13 16:35:27.864283 +00:00
8365,654,295,2025-01-13 17:55:20.105624 +00:00
8387,213,1183,2025-01-13 21:05:23.968262 +00:00
8393,213,967,2025-01-13 21:05:44.615461 +00:00
8401,1244,144,2025-01-13 22:41:36.871870 +00:00
8457,1257,439,2025-01-14 20:34:53.720135 +00:00
192,8,47,2024-12-16 15:57:05.986404 +00:00
4600,596,553,2024-12-22 21:41:20.093583 +00:00
1233,216,154,2024-12-16 15:57:05.986404 +00:00
1237,216,169,2024-12-16 15:57:05.986404 +00:00
1244,259,233,2024-12-16 15:57:05.986404 +00:00
1246,259,10,2024-12-16 15:57:05.986404 +00:00
6796,1,347,2024-12-31 13:40:45.138950 +00:00
1894,323,144,2024-12-16 15:57:05.986404 +00:00
1910,318,33,2024-12-16 15:57:05.986404 +00:00
1917,318,121,2024-12-16 15:57:05.986404 +00:00
1925,300,323,2024-12-16 15:57:05.986404 +00:00
1931,293,50,2024-12-16 15:57:05.986404 +00:00
1934,328,29,2024-12-16 15:57:05.986404 +00:00
1940,330,37,2024-12-16 15:57:05.986404 +00:00
1945,330,230,2024-12-16 15:57:05.986404 +00:00
